Year,Landings,AMO
1918,157,-0.260833333
1919,92,-0.186916667
1920,5,-0.335833333
1921,523,-0.22125
1922,525,-0.320916667
1923,623,-0.325166667
1924,682,-0.153583333
1925,461,-0.160416667
1926,904,0.084583333
1927,1264,0.108666667
1928,1076,-0.006916667
1929,2096,-0.11275
1930,1858,0.009583333
1931,1206,0.177333333
1932,961,0.227166667
1933,688,0.19125
1934,,-0.00925
1935,1204,0.016
1936,,0.148166667
1937,1101,0.291166667
1938,533,0.238666667
1939,402,0.106083333
1940,269,-0.032833333
1941,,0.170333333
1942,62,0.179416667
1943,8,0.02875
1944,22,0.3445
1945,40,0.215
1946,129,0.013833333
1947,191,-0.090833333
1948,465,0.006416667
1949,582,0.085333333
1950,1089,-0.015083333
1951,1031,0.196083333
1952,964,0.287166667
1953,1439,0.256416667
1954,1582,0.035083333
1955,1629,0.184333333
1956,707,-0.027666667
1957,252,0.031833333
1958,672,0.20525
1959,380,0.043666667
1960,1064,0.226083333
1961,388,0.090166667
1962,291,0.0625
1963,121,-0.005416667
1964,596,-0.105583333
1965,614,-0.169833333
1966,438,-0.0065
1967,50,-0.108916667
1968,32,-0.178166667
1969,33,-0.001833333
1970,61,-0.115
1971,66,-0.324
1972,122,-0.366166667
1973,394,-0.228916667
1974,586,-0.433833333
1975,710,-0.312416667
1976,1010,-0.377666667
1977,2082,-0.203416667
1978,3257,-0.194083333
1979,3968,-0.124583333
1980,3889,-0.03275
1981,3499,-0.090833333
1982,1990,-0.226916667
1983,1876,-0.085
1984,2009,-0.22175
1985,1961,-0.281416667
1986,1950,-0.288833333
1987,3210,0.0525
1988,1361,-0.019166667
1989,454,-0.097
1990,874,-0.0525
1991,1189,-0.146416667
1992,1653,-0.23325
1993,1838,-0.224666667
1994,786,-0.190916667
1995,666,0.120833333
1996,1121,-0.072083333
1997,1810,0.037583333
1998,1342,0.358166667
1999,525,0.103666667
2000,506,0.014
2001,874,0.104833333
2002,851,0.050916667
2003,1130,0.216833333
2004,1215,0.192166667
2005,676,0.27775
2006,907,0.252916667
2007,749,0.133583333
2008,737,0.1245
2009,864,0.025583333
2010,922,0.336166667
2011,864,0.088666667
2012,834,0.200166667
2013,846,0.15325
2014,814,0.08875
2015,593,0.101083333
2016,494,0.329833333
2017,695,0.302916667
